SP023_2theta_XRR,
2θ - °,Intensity - counts
0.200000002980232,1344476
0.209999993443489,1402615.25
0.219999998807907,1466495.625
0.230000004172325,1527121.75
0.239999994635582,1583191
0.25,1645037.5
0.259999990463257,1701735.75
0.270000010728836,1755895.625
0.280000001192093,1811976
0.28999999165535,1864829.75
0.300000011920929,1919723.375
0.310000002384186,1971593.75
0.319999992847443,2021076.125
0.330000013113022,2066186.375
0.340000003576279,2117823
0.349999994039536,2159867.75
0.360000014305115,2208027.5
0.370000004768372,2257880.25
0.379999995231628,2302104
0.389999985694885,2344336
0.400000005960464,2386655.5
0.409999996423721,2432743
0.419999986886978,2472319
0.430000007152557,2511086
0.439999997615814,2543921
0.449999988079071,2575140.5
0.46000000834465,2595699.25
0.469999998807907,2619337.5
0.479999989271164,2649373.25
0.490000009536743,2676951.25
0.5,2703155.25
0.509999990463257,2724656.25
0.519999980926514,2747972.75
0.529999971389771,2767460.5
0.540000021457672,2786225.5
0.550000011920929,2806196.25
0.560000002384186,2817814.75
0.569999992847443,2834695.5
0.579999983310699,2839664.5
0.589999973773956,2843107.25
0.600000023841858,2841261.75
0.610000014305115,2826228.5
0.620000004768372,2804275.5
0.629999995231628,2767298.25
0.639999985694885,2714312.75
0.649999976158142,2634818.75
0.660000026226044,2523713
0.670000016689301,2383657.75
0.680000007152557,2217767.25
0.689999997615814,2052900.875
0.699999988079071,1867945.75
0.709999978542328,1647589.5
0.720000028610229,1382733.125
0.730000019073486,1120992.75
0.740000009536743,917931.375
0.75,791553.5
0.759999990463257,704938.3125
0.769999980926514,611909.8125
0.779999971389771,507177.21875
0.790000021457672,403282.53125
0.800000011920929,324747.96875
0.810000002384186,275245.84375
0.819999992847443,248382.375
0.829999983310699,228411.234375
0.839999973773956,208774.1875
0.850000023841858,191931.9375
0.860000014305115,179531.15625
0.870000004768372,175808.15625
0.879999995231628,178809.109375
0.889999985694885,182708.59375
0.899999976158142,181068.75
0.910000026226044,174173.4375
0.920000016689301,159387.25
0.930000007152557,141806.296875
0.939999997615814,125860.203125
0.949999988079071,115513.0625
0.959999978542328,109773.796875
0.970000028610229,106390.3125
0.980000019073486,104958.9375
0.990000009536743,99980.6015625
1,93285.296875
1.00999999046326,85185.3671875
1.01999998092651,76399.9375
1.02999997138977,70224.3125
1.03999996185303,65672.7890625
1.04999995231628,64027.28515625
1.05999994277954,63262.546875
1.07000005245209,60997.4921875
1.08000004291534,57788.09375
1.0900000333786,50831.4765625
1.10000002384186,42030.4140625
1.11000001430511,32808.28515625
1.12000000476837,25127.46875
1.12999999523163,20583.880859375
1.13999998569489,19708.095703125
1.14999997615814,22602.21484375
1.1599999666214,27481.349609375
1.16999995708466,32492.84375
1.17999994754791,35777.12109375
1.19000005722046,36759.359375
1.20000004768372,34109.57421875
1.21000003814697,29222.42578125
1.22000002861023,23148.28125
1.23000001907349,17452.681640625
1.24000000953674,13490.6796875
1.25,12204.2294921875
1.25999999046326,13726.1171875
1.26999998092651,16709.73828125
1.27999997138977,20579.779296875
1.28999996185303,22955.6875
1.29999995231628,24269.029296875
1.30999994277954,23558.9375
1.32000005245209,21092.623046875
1.33000004291534,17220.32421875
1.3400000333786,13312.1220703125
1.35000002384186,10366.7373046875
1.36000001430511,8712.7861328125
1.37000000476837,8804.5703125
1.37999999523163,10480.583984375
1.38999998569489,12697.4052734375
1.39999997615814,15012.3994140625
1.4099999666214,16010.1884765625
1.41999995708466,15899.7041015625
1.42999994754791,14449.4482421875
1.44000005722046,11877.111328125
1.45000004768372,8896.3515625
1.46000003814697,6007.396484375
1.47000002861023,3759.10864257813
1.48000001907349,2903.90063476563
1.49000000953674,3069.904296875
1.5,4270.66943359375
1.50999999046326,5812.29541015625
1.51999998092651,7482.7041015625
1.52999997138977,8769.2705078125
1.53999996185303,9126.193359375
1.54999995231628,8519.1201171875
1.55999994277954,7358.1669921875
1.57000005245209,5546.7353515625
1.58000004291534,3911.9384765625
1.5900000333786,2406.97534179688
1.60000002384186,1647.32556152344
1.61000001430511,1599.98571777344
1.62000000476837,2214.64770507813
1.62999999523163,3043.37548828125
1.63999998569489,4007.26684570313
1.64999997615814,4777.423828125
1.6599999666214,5066.05615234375
1.66999995708466,4921.8994140625
1.67999994754791,4395.36181640625
1.69000005722046,3617.0009765625
1.70000004768372,2667.38940429688
1.71000003814697,2079.0537109375
1.72000002861023,1616.28735351563
1.73000001907349,1669.39233398438
1.74000000953674,1790.47644042969
1.75,2222.78051757813
1.75999999046326,2584.1826171875
1.76999998092651,3053.55151367188
1.77999997138977,3192.9892578125
1.78999996185303,3115.666015625
1.79999995231628,2741.28662109375
1.80999994277954,2239.42163085938
1.82000005245209,1773.33837890625
1.83000004291534,1209.14489746094
1.8400000333786,902.882751464844
1.85000002384186,777.026000976563
1.86000001430511,827.209777832031
1.87000000476837,1005.90319824219
1.87999999523163,1205.93334960938
1.88999998569489,1412.60888671875
1.89999997615814,1565.63146972656
1.9099999666214,1566.51428222656
1.91999995708466,1458.63928222656
1.92999994754791,1313.31115722656
1.94000005722046,1069.30639648438
1.95000004768372,784.990661621094
1.96000003814697,621.892578125
1.97000002861023,500.792602539063
1.98000001907349,464.85205078125
1.99000000953674,422.024780273438
2,460.182739257813
2.00999999046326,549.831970214844
2.01999998092651,574.237365722656
2.02999997138977,578.576110839844
2.03999996185303,513.911010742188
2.04999995231628,543.917663574219
2.05999994277954,443.764801025391
2.0699999332428,471.5419921875
2.07999992370605,466.482025146484
2.08999991416931,477.138061523438
2.09999990463257,497.110992431641
2.10999989509583,538.255676269531
2.11999988555908,586.083374023438
2.13000011444092,555.472839355469
2.14000010490417,558.5986328125
2.15000009536743,439.918273925781
2.16000008583069,434.416015625
2.17000007629395,308.024810791016
2.1800000667572,300.906951904297
2.19000005722046,228.092758178711
2.20000004768372,253.846908569336
2.21000003814697,291.556762695313
2.22000002861023,345.349304199219
2.23000001907349,359.925750732422
2.24000000953674,412.631744384766
2.25,437.040222167969
2.25999999046326,420.788879394531
2.26999998092651,392.906799316406
2.27999997138977,312.761260986328
2.28999996185303,267.768249511719
2.29999995231628,203.902984619141
2.30999994277954,124.259521484375
2.3199999332428,115.451316833496
2.32999992370605,167.900085449219
2.33999991416931,169.580383300781
2.34999990463257,182.666778564453
2.35999989509583,227.019943237305
2.36999988555908,262.8876953125
2.38000011444092,233.852355957031
2.39000010490417,253.130630493164
2.40000009536743,184.926345825195
2.41000008583069,149.694869995117
2.42000007629395,96.2448959350586
2.4300000667572,71.3596725463867
2.44000005722046,38.0230522155762
2.45000004768372,60.9713096618652
2.46000003814697,84.0893936157227
2.47000002861023,131.424468994141
2.48000001907349,198.292037963867
2.49000000953674,224.840438842773
2.5,258.407928466797
2.50999999046326,231.84797668457
2.51999998092651,219.888031005859
2.52999997138977,165.347579956055
2.53999996185303,123.225006103516
2.54999995231628,83.0329742431641
2.55999994277954,57.2400093078613
2.5699999332428,38.1943778991699
2.57999992370605,54.9499969482422
2.58999991416931,61.2935752868652
2.59999990463257,92.5302047729492
2.60999989509583,129.131210327148
2.61999988555908,170.787826538086
2.63000011444092,226.963165283203
2.64000010490417,170.310897827148
2.65000009536743,154.342315673828
2.66000008583069,146.793746948242
2.67000007629395,102.949478149414
2.6800000667572,70.0363616943359
2.69000005722046,58.0818214416504
2.70000004768372,27.9468727111816
2.71000003814697,25.6053447723389
2.72000002861023,26.8987579345703
2.73000001907349,50.9628372192383
2.74000000953674,64.1281051635742
2.75,86.3386459350586
2.75999999046326,84.4358139038086
2.76999998092651,83.6329498291016
2.77999997138977,85.2375793457031
2.78999996185303,69.7583618164063
2.79999995231628,40.298656463623
2.80999994277954,30.0179748535156
2.8199999332428,26.1658554077148
2.82999992370605,17.0208187103271
2.83999991416931,10.9484872817993
2.84999990463257,23.9579696655273
2.85999989509583,33.0000762939453
2.86999988555908,38.1276206970215
2.88000011444092,63.1807899475098
2.89000010490417,50.1862030029297
2.90000009536743,34.979320526123
2.91000008583069,55.1926651000977
2.92000007629395,49.1765785217285
2.9300000667572,33.3211860656738
2.94000005722046,30.2322597503662
2.95000004768372,15.9875049591064
2.96000003814697,11.9493923187256
2.97000002861023,12.9497098922729
2.98000001907349,12.0447816848755
2.99000000953674,15.350359916687
3,21.898904800415
