SP023_2theta_15-75,
2θ - °,Intensity - counts
15,7.91665267944336
15.0100002288818,8.72369956970215
15.0200004577637,7.32154655456543
15.0299997329712,9.29347610473633
15.039999961853,9.86023807525635
15.0500001907349,4.50541257858276
15.0600004196167,3.38719511032104
15.0699996948242,5.58040952682495
15.0799999237061,18.7397727966309
15.0900001525879,8.63333225250244
15.1000003814697,8.35539436340332
15.1099996566772,14.2960109710693
15.1199998855591,9.82009696960449
15.1300001144409,9.76239776611328
15.1400003433228,8.74173831939697
15.1499996185303,10.5740051269531
15.1599998474121,7.20853853225708
15.1700000762939,8.39362525939941
15.1800003051758,3.58114886283875
15.1899995803833,10.3059387207031
15.1999998092651,11.135856628418
15.210000038147,7.69642877578735
15.2200002670288,11.9061460494995
15.2299995422363,7.75589609146118
15.2399997711182,9.7754373550415
15.25,11.2551679611206
15.2600002288818,6.54506826400757
15.2700004577637,4.51948833465576
15.2799997329712,3.12877535820007
15.289999961853,7.66017961502075
15.3000001907349,4.20749998092651
15.3100004196167,5.55113649368286
15.3199996948242,5.55672311782837
15.3299999237061,4.88315677642822
15.3400001525879,6.38921117782593
15.3500003814697,7.00011444091797
15.3599996566772,7.90974760055542
15.3699998855591,4.56817722320557
15.3800001144409,2.79489850997925
15.3900003433228,7.68988609313965
15.3999996185303,4.27854871749878
15.4099998474121,3.48597383499146
15.4200000762939,8.80458736419678
15.4300003051758,8.02831649780273
15.4399995803833,8.74452590942383
15.4499998092651,5.52820777893066
15.460000038147,5.95374727249146
15.4700002670288,3.16618299484253
15.4799995422363,7.08171367645264
15.4899997711182,6.14674091339111
15.5,7.09370088577271
15.5100002288818,6.39749145507813
15.5200004577637,3.0917227268219
15.5299997329712,7.2935528755188
15.539999961853,12.6779699325562
15.5500001907349,6.52995681762695
15.5600004196167,8.70355033874512
15.5699996948242,6.59633922576904
15.5799999237061,5.48520469665527
15.5900001525879,5.24865388870239
15.6000003814697,6.2158408164978
15.6099996566772,5.255943775177
15.6199998855591,6.62737560272217
