TCWu142_0_2theta_XRR,
2θ - °,Intensity - counts
0.200000002980232,164471.28125
0.209999993443489,173899.953125
0.219999998807907,183811.4375
0.230000004172325,193389.328125
0.239999994635582,204136.109375
0.25,214541.296875
0.259999990463257,225040.84375
0.270000010728836,235964.265625
0.280000001192093,249516.515625
0.28999999165535,260077.3125
0.300000011920929,270977.375
0.310000002384186,283556.4375
0.319999992847443,295801.96875
0.330000013113022,307442.90625
0.340000003576279,318845.25
0.349999994039536,331845.25
0.360000014305115,344742.4375
0.370000004768372,355864.65625
0.379999995231628,367487.0625
0.389999985694885,377960.1875
0.400000005960464,388610.46875
0.409999996423721,395693.96875
0.419999986886978,396989.40625
0.430000007152557,390662.875
0.439999997615814,385047.34375
0.449999988079071,382360.34375
0.46000000834465,383469.46875
0.469999998807907,385705.46875
0.479999989271164,388091.4375
0.490000009536743,390882.28125
0.5,394941.0625
0.509999990463257,399375.59375
0.519999980926514,401343.71875
0.529999971389771,406530.90625
0.540000021457672,409552.53125
0.550000011920929,412158.34375
0.560000002384186,415716.875
0.569999992847443,416494.5
0.579999983310699,416547.53125
0.589999973773956,415242.46875
0.600000023841858,414964.78125
0.610000014305115,412048.09375
0.620000004768372,407252.625
0.629999995231628,399466.0625
0.639999985694885,391464.0625
0.649999976158142,379008.25
0.660000026226044,363883.46875
0.670000016689301,344967.625
0.680000007152557,322660.09375
0.689999997615814,297168.53125
0.699999988079071,268897.34375
0.709999978542328,238302.96875
0.720000028610229,206782.8125
0.730000019073486,175420.25
0.740000009536743,145781.203125
0.75,120142.3515625
0.759999990463257,99517.5625
0.769999980926514,82212.4609375
0.779999971389771,70100.0390625
0.790000021457672,61714.50390625
0.800000011920929,56375.28125
0.810000002384186,53778.05859375
0.819999992847443,52277.9453125
0.829999983310699,52100.1796875
0.839999973773956,52224.36328125
0.850000023841858,52091.89453125
0.860000014305115,52508.96875
0.870000004768372,52454.6875
0.879999995231628,51499.40625
0.889999985694885,49957.453125
0.899999976158142,49167.51171875
0.910000026226044,46998.91015625
0.920000016689301,44651.078125
0.930000007152557,42307.92578125
0.939999997615814,39711.99609375
0.949999988079071,37182.01171875
0.959999978542328,33795.44140625
0.970000028610229,31214.16015625
0.980000019073486,28482.455078125
0.990000009536743,26156.564453125
1,23837.55078125
1.00999999046326,22002.23046875
1.01999998092651,20161.849609375
1.02999997138977,18873.873046875
1.03999996185303,17608.646484375
1.04999995231628,16801.078125
1.05999994277954,15904.0830078125
1.07000005245209,15506.1982421875
1.08000004291534,14887.408203125
1.0900000333786,14920.6259765625
1.10000002384186,14812.373046875
1.11000001430511,14567.7607421875
1.12000000476837,14382.240234375
1.12999999523163,14331.908203125
1.13999998569489,13894.1591796875
1.14999997615814,13903.4111328125
1.1599999666214,13730.1328125
1.16999995708466,13286.4423828125
1.17999994754791,12945.8310546875
1.19000005722046,12570.5322265625
1.20000004768372,12159.3720703125
1.21000003814697,11680.763671875
1.22000002861023,10986.1767578125
1.23000001907349,10364.072265625
1.24000000953674,10006.78515625
1.25,9287.9462890625
1.25999999046326,8613.1181640625
1.26999998092651,7941.7294921875
1.27999997138977,7553.7021484375
1.28999996185303,7001.5810546875
1.29999995231628,6622.15380859375
1.30999994277954,6261.791015625
1.32000005245209,5976.9267578125
1.33000004291534,5644.490234375
1.3400000333786,5410.46240234375
1.35000002384186,5085.61181640625
1.36000001430511,4949.68408203125
1.37000000476837,5063.5888671875
1.37999999523163,4899.30712890625
1.38999998569489,4965.24755859375
1.39999997615814,5011.9091796875
1.4099999666214,4937.24853515625
1.41999995708466,4955.6533203125
1.42999994754791,4869.19921875
1.44000005722046,4822.90771484375
1.45000004768372,4859.541015625
1.46000003814697,4899.40283203125
1.47000002861023,5021.5380859375
1.48000001907349,4801.9501953125
1.49000000953674,4738.88134765625
1.5,4685.7587890625
1.50999999046326,4396.01953125
1.51999998092651,4324.611328125
1.52999997138977,3986.17529296875
1.53999996185303,3861.439453125
1.54999995231628,3630.11059570313
1.55999994277954,3389.60400390625
1.57000005245209,3125.84741210938
1.58000004291534,2844.7666015625
1.5900000333786,2540.12841796875
1.60000002384186,2496.38525390625
1.61000001430511,2201.55541992188
1.62000000476837,1952.38610839844
1.62999999523163,1864.00622558594
1.63999998569489,1662.05029296875
1.64999997615814,1616.01196289063
1.6599999666214,1494.86694335938
1.66999995708466,1436.4072265625
1.67999994754791,1409.8623046875
1.69000005722046,1295.29772949219
1.70000004768372,1354.06958007813
1.71000003814697,1388.40344238281
1.72000002861023,1424.01330566406
1.73000001907349,1519.08825683594
1.74000000953674,1553.57849121094
1.75,1596.97485351563
1.75999999046326,1759.169921875
1.76999998092651,1761.73803710938
1.77999997138977,1876.79846191406
1.78999996185303,1935.61828613281
1.79999995231628,1998.03149414063
1.80999994277954,2009.31884765625
1.82000005245209,2068.95434570313
1.83000004291534,2036.55517578125
1.8400000333786,2041.095703125
1.85000002384186,2065.12036132813
1.86000001430511,2008.62756347656
1.87000000476837,1910.56848144531
1.87999999523163,1929.39562988281
1.88999998569489,1719.94384765625
1.89999997615814,1681.81811523438
1.9099999666214,1560.20361328125
1.91999995708466,1360.91516113281
1.92999994754791,1293.91369628906
1.94000005722046,1172.05322265625
1.95000004768372,1083.55261230469
1.96000003814697,978.890625
1.97000002861023,889.387756347656
1.98000001907349,692.381958007813
1.99000000953674,606.48046875
2,577.982238769531
2.00999999046326,495.227844238281
2.01999998092651,442.354400634766
2.02999997138977,420.255462646484
2.03999996185303,400.808654785156
2.04999995231628,400.116912841797
2.05999994277954,333.074157714844
2.0699999332428,375.246673583984
2.07999992370605,374.034454345703
2.08999991416931,413.128845214844
2.09999990463257,458.512573242188
2.10999989509583,500.609893798828
2.11999988555908,549.967712402344
2.13000011444092,589.180541992188
2.14000010490417,615.107177734375
2.15000009536743,635.534912109375
2.16000008583069,729.60546875
2.17000007629395,803
2.1800000667572,807.485717773438
2.19000005722046,837.717163085938
2.20000004768372,908.193115234375
2.21000003814697,899.495300292969
2.22000002861023,860.825256347656
2.23000001907349,942.823303222656
2.24000000953674,878.535766601563
2.25,803.228576660156
2.25999999046326,800.468383789063
2.26999998092651,818.558471679688
2.27999997138977,720.616821289063
2.28999996185303,718.416320800781
2.29999995231628,581.575988769531
2.30999994277954,595.287719726563
2.3199999332428,501.981628417969
2.32999992370605,473.243438720703
2.33999991416931,465.637603759766
2.34999990463257,385.177795410156
2.35999989509583,351.508605957031
2.36999988555908,288.439758300781
2.38000011444092,272.562377929688
2.39000010490417,201.748596191406
2.40000009536743,192.834197998047
2.41000008583069,162.546936035156
2.42000007629395,136.37922668457
2.4300000667572,127.500091552734
2.44000005722046,123.569152832031
2.45000004768372,111.22492980957
2.46000003814697,113.297859191895
2.47000002861023,133.000534057617
2.48000001907349,119.216247558594
2.49000000953674,143.720489501953
2.5,150.576126098633
2.50999999046326,158.574371337891
2.51999998092651,191.421325683594
2.52999997138977,225.495101928711
2.53999996185303,228.945510864258
2.54999995231628,255.444869995117
2.55999994277954,262.519378662109
2.5699999332428,278.274291992188
2.57999992370605,293.667816162109
2.58999991416931,304.217254638672
2.59999990463257,306.040710449219
2.60999989509583,278.610931396484
2.61999988555908,323.0849609375
2.63000011444092,308.118133544922
2.64000010490417,308.249053955078
2.65000009536743,303.211181640625
2.66000008583069,285.513916015625
2.67000007629395,268.011688232422
2.6800000667572,266.056365966797
2.69000005722046,243.84944152832
2.70000004768372,228.280639648438
2.71000003814697,215.5703125
2.72000002861023,188.139007568359
2.73000001907349,176.623809814453
2.74000000953674,157.063827514648
2.75,145.566772460938
2.75999999046326,125.98314666748
2.76999998092651,111.543815612793
2.77999997138977,99.6996765136719
2.78999996185303,84.8068618774414
2.79999995231628,74.0440063476563
2.80999994277954,61.9054260253906
2.8199999332428,59.3466644287109
2.82999992370605,41.0010032653809
2.83999991416931,36.9824714660645
